"","V1","V2","V3","V4","total"
"415",2020,4,13,"#covid2019",17763
"416",2020,4,14,"#covid19",203460
"417",2020,4,14,"#coronavirus",165476
"418",2020,4,14,"#c",21423
"419",2020,4,14,"#stayhome",20832
"420",2020,4,14,"#covid",17169
"421",2020,4,15,"#covid19",224478
"422",2020,4,15,"#coronavirus",163044
"423",2020,4,15,"#stayhome",18518
"424",2020,4,15,"#covid",16166
"425",2020,4,15,"#china",12706
"426",2020,4,16,"#covid19",259902
"427",2020,4,16,"#coronavirus",166402
"428",2020,4,16,"#covid",20274
"429",2020,4,16,"#stayhome",18630
"430",2020,4,16,"#lockdown",15631
"431",2020,4,17,"#covid19",247528
"432",2020,4,17,"#coronavirus",150517
"433",2020,4,17,"#stayhome",19153
"434",2020,4,17,"#covid",17811
"435",2020,4,17,"#lockdown",11524
"436",2020,4,18,"#covid19",225028
"437",2020,4,18,"#coronavirus",148337
"438",2020,4,18,"#covid",32618
"439",2020,4,18,"#stayhome",25051
"440",2020,4,18,"#togetherathome",23399
"441",2020,4,19,"#covid19",193251
"442",2020,4,19,"#coronavirus",154970
"443",2020,4,19,"#togetherathome",62167
"444",2020,4,19,"#covid",38543
"445",2020,4,19,"#stayhome",21266
"446",2020,4,20,"#covid19",189642
"447",2020,4,20,"#coronavirus",159815
"448",2020,4,20,"#stayhome",28562
"449",2020,4,20,"#covid<u+30fc>19",28440
"450",2020,4,20,"#covid",22435
"451",2020,4,21,"#covid19",79539
"452",2020,4,21,"#coronavirus",36854
"453",2020,4,21,"#covid<u+30fc>19",20167
"454",2020,4,21,"#stayhome",17150
"455",2020,4,21,"#lockdown",7682
"456",2020,4,22,"#covid19",189029
"457",2020,4,22,"#coronavirus",159816
"458",2020,4,22,"#covid<u+30fc>19",31370
"459",2020,4,22,"#stayhome",21500
"460",2020,4,22,"#covid",20860
"461",2020,4,23,"#covid19",217425
"462",2020,4,23,"#coronavirus",150666
"463",2020,4,23,"#stayhome",24637
"464",2020,4,23,"#covid",16367
"465",2020,4,23,"#covid<u+30fc>19",12947
"466",2020,4,24,"#covid19",255695
"467",2020,4,24,"#coronavirus",177554
"468",2020,4,24,"#stayhome",27914
"469",2020,4,24,"#covid",22458
"470",2020,4,24,"#trump",12783
"471",2020,4,25,"#covid19",292529
"472",2020,4,25,"#coronavirus",153685
"473",2020,4,25,"#covid",30095
"474",2020,4,25,"#stayhome",27275
"475",2020,4,25,"#lockdown",19149
"476",2020,4,26,"#covid19",273662
"477",2020,4,26,"#coronavirus",172220
"478",2020,4,26,"#stayhome",31717
"479",2020,4,26,"#covid",21966
"480",2020,4,26,"#lockdown",20396
"481",2020,4,27,"#covid19",261839
"482",2020,4,27,"#coronavirus",177464
"483",2020,4,27,"#stayhome",29912
"484",2020,4,27,"#covid",23382
"485",2020,4,27,"#lockdown",21171
"486",2020,4,28,"#covid19",197878
"487",2020,4,28,"#coronavirus",137120
"488",2020,4,28,"#stayhome",23152
"489",2020,4,28,"#covid",20260
"490",2020,4,28,"#lockdown",13519
"491",2020,4,29,"#covid19",167283
"492",2020,4,29,"#coronavirus",97553
"493",2020,4,29,"#stayhome",23266
"494",2020,4,29,"#covid",11636
"495",2020,4,29,"#lockdown",9507
"496",2020,4,30,"#covid19",243256
"497",2020,4,30,"#coronavirus",153028
"498",2020,4,30,"#covid",25084
"499",2020,4,30,"#stayhome",24435
"500",2020,4,30,"#lockdown",13629
"501",2020,5,1,"#covid19",219044
"502",2020,5,1,"#coronavirus",141085
"503",2020,5,1,"#stayhome",30047
"504",2020,5,1,"#covid",27478
"505",2020,5,1,"#lockdown",19338
"506",2020,5,2,"#covid19",257244
"507",2020,5,2,"#coronavirus",153811
"508",2020,5,2,"#stayhome",35250
"509",2020,5,2,"#covid",26671
"510",2020,5,2,"#lockdown",17333
"511",2020,5,3,"#covid19",214307
"512",2020,5,3,"#coronavirus",143461
"513",2020,5,3,"#stayhome",32999
"514",2020,5,3,"#covid",24193
"515",2020,5,3,"#covid<u+30fc>19",18634
"516",2020,5,4,"#covid19",194242
"517",2020,5,4,"#coronavirus",153624
"518",2020,5,4,"#covid<u+30fc>19",49019
"519",2020,5,4,"#stayhome",27540
"520",2020,5,4,"#covid",22645
"521",2020,5,5,"#covid19",138762
"522",2020,5,5,"#coronavirus",46486
"523",2020,5,5,"#covid<u+30fc>19",29725
"524",2020,5,5,"#stayhome",24762
"525",2020,5,5,"#covid",17268
"526",2020,5,6,"#covid19",231502
"527",2020,5,6,"#coronavirus",143828
"528",2020,5,6,"#stayhome",23043
"529",2020,5,6,"#covid",22142
"530",2020,5,6,"#covid<u+30fc>19",18530
"531",2020,5,7,"#covid19",284627
"532",2020,5,7,"#coronavirus",168722
"533",2020,5,7,"#covid",23998
"534",2020,5,7,"#stayhome",21577
"535",2020,5,7,"#lockdown",16264
"536",2020,5,8,"#covid19",276762
"537",2020,5,8,"#coronavirus",152173
"538",2020,5,8,"#stayhome",27133
"539",2020,5,8,"#covid",21544
"540",2020,5,8,"#lockdown",17417
"541",2020,5,9,"#covid19",259887
"542",2020,5,9,"#coronavirus",159213
"543",2020,5,9,"#truebloodpump",33378
"544",2020,5,9,"#partisipasicegahcovid19",27687
"545",2020,5,9,"#covid",24490
"546",2020,5,10,"#covid19",236959
"547",2020,5,10,"#coronavirus",187288
"548",2020,5,10,"#stayhome",28328
"549",2020,5,10,"#covid",23296
"550",2020,5,10,"#lockdown",15078
"551",2020,5,11,"#covid19",241943
"552",2020,5,11,"#coronavirus",192110
"553",2020,5,11,"#covid",26757
"554",2020,5,11,"#stayhome",19112
"555",2020,5,11,"#lockdown",16645
"556",2020,5,12,"#covid19",213259
"557",2020,5,12,"#coronavirus",161483
"558",2020,5,12,"#covid",29046
"559",2020,5,12,"#siagalawancovid19",24043
"560",2020,5,12,"#covid<u+30fc>19",18574
"561",2020,5,13,"#covid19",204860
"562",2020,5,13,"#coronavirus",163272
"563",2020,5,13,"#covid<u+30fc>19",37724
"564",2020,5,13,"#covid",22392
"565",2020,5,13,"#dirumahaja",16641
"566",2020,5,14,"#covid19",213809
"567",2020,5,14,"#coronavirus",161831
"568",2020,5,14,"#covid<u+30fc>19",28014
"569",2020,5,14,"#covid",26600
"570",2020,5,14,"#stayhome",13911
"571",2020,5,15,"#covid19",218579
"572",2020,5,15,"#coronavirus",175942
"573",2020,5,15,"#covid",33544
"574",2020,5,15,"#sembakopolripeduli",17453
"575",2020,5,15,"#covid<u+30fc>19",17182
"576",2020,5,16,"#covid19",211625
"577",2020,5,16,"#coronavirus",169824
"578",2020,5,16,"#covid",27790
"579",2020,5,16,"#stayhome",19340
"580",2020,5,16,"#lockdown",16064
"581",2020,5,17,"#covid19",206386
"582",2020,5,17,"#coronavirus",142236
"583",2020,5,17,"#covid",47862
"584",2020,5,17,"#lockdown",21220
"585",2020,5,17,"#stayhome",15445
"586",2020,5,18,"#covid19",240225
"587",2020,5,18,"#coronavirus",160949
"588",2020,5,18,"#covid",29799
"589",2020,5,18,"#polriberbagikasih",28866
"590",2020,5,18,"#lockdown",12479
"591",2020,5,19,"#covid19",271483
"592",2020,5,19,"#coronavirus",162055
"593",2020,5,19,"#covid",25873
"594",2020,5,19,"#patuhiprotokolcovid19",19909
"595",2020,5,19,"#hydroxychloroquine",15926
"596",2020,5,20,"#covid19",276426
"597",2020,5,20,"#coronavirus",153136
"598",2020,5,20,"#covid",26617
"599",2020,5,20,"#opsketupatcegahcovid19",17802
"600",2020,5,20,"#stayhome",11959
"601",2020,5,21,"#covid19",257835
"602",2020,5,21,"#coronavirus",156207
"603",2020,5,21,"#covid",25188
"604",2020,5,21,"#wuhancoronavirus",16227
"605",2020,5,21,"#heels",15795
"606",2020,5,22,"#covid19",201973
"607",2020,5,22,"#coronavirus",157673
"608",2020,5,22,"#covid<u+30fc>19",28439
"609",2020,5,22,"#covid",24115
"610",2020,5,22,"#dirumahajalebihbaik",23498
"611",2020,5,23,"#covid19",150110
"612",2020,5,23,"#coronavirus",122127
"613",2020,5,23,"#covid<u+30fc>19",36956
"614",2020,5,23,"#covid",23556
"615",2020,5,23,"#stayhome",14588
"616",2020,5,24,"#covid19",140544
"617",2020,5,24,"#coronavirus",113513
"618",2020,5,24,"#covid",26258
"619",2020,5,24,"#covid<u+30fc>19",25883
"620",2020,5,24,"#stayhome",16721
"621",2020,5,25,"#covid19",164358
"622",2020,5,25,"#coronavirus",137824
"623",2020,5,25,"#covid",23029
"624",2020,5,25,"#covid<u+30fc>19",22949
"625",2020,5,25,"#lockdown",11836
"626",2020,5,26,"#covid19",213382
"627",2020,5,26,"#coronavirus",138112
"628",2020,5,26,"#covid",29269
"629",2020,5,26,"#lockdown",14523
"630",2020,5,26,"#covid<u+30fc>19",11943
"631",2020,5,27,"#covid19",230826
"632",2020,5,27,"#coronavirus",124158
"633",2020,5,27,"#covid",30019
"634",2020,5,27,"#lockdown",10938
"635",2020,5,27,"#tundabalikkejakarta",9029
"636",2020,5,28,"#covid19",198431
"637",2020,5,28,"#coronavirus",123622
"638",2020,5,28,"#executiveorder",33085
"639",2020,5,28,"#covid",27055
"640",2020,5,28,"#lockdown",8361
"641",2020,5,29,"#covid19",197984
"642",2020,5,29,"#coronavirus",133482
"643",2020,5,29,"#covid",23753
"644",2020,5,29,"#executiveorder",13532
"645",2020,5,29,"#lockdown",10951
"646",2020,5,30,"#covid19",157347
"647",2020,5,30,"#coronavirus",127311
"648",2020,5,30,"#covid",25081
"649",2020,5,30,"#minneapolisriot",16472
"650",2020,5,30,"#lockdown",12684
"651",2020,5,31,"#covid19",142669
"652",2020,5,31,"#coronavirus",115159
"653",2020,5,31,"#rgpvspreadingcoronavirus",92426
"654",2020,5,31,"#anonymous",26307
"655",2020,5,31,"#kiitkissfightscovid19",25710
"656",2020,6,1,"#covid19",160582
"657",2020,6,1,"#coronavirus",118173
"658",2020,6,1,"#ebola",29569
"659",2020,6,1,"#anonymous",25415
"660",2020,6,1,"#covid",17324
"661",2020,6,2,"#covid19",169255
"662",2020,6,2,"#coronavirus",106852
"663",2020,6,2,"#covid",16316
"664",2020,6,2,"#blacklivesmatter",10944
"665",2020,6,2,"#covid<u+30fc>19",10037
"666",2020,6,3,"#covid19",186460
"667",2020,6,3,"#coronavirus",131171
"668",2020,6,3,"#canceltsexamspromotestudents",29178
"669",2020,6,3,"#covid",16266
"670",2020,6,3,"#cancelapexamspromotestudents",15955
"671",2020,6,4,"#covid19",166973
"672",2020,6,4,"#coronavirus",122260
"673",2020,6,4,"#covid<u+30fc>19",33501
